Title	Year Released	Runtime	Genre
I Love, You Love (Ja milujem, ty milujes)	2004	1.1	Comedy|Drama|Romance
Hunting Party, The	2009	1.4	Action|Drama|Western
Men Don't Leave	2002	1.7	Drama
Homecoming, The	1977	2.3	Drama
O Brother, Where Art Thou?	1992	1.8	Adventure|Comedy|Crime
Tenth Man, The	2011	2.5	Drama|War
Cradle of Fear	1989	2.0	Crime|Drama|Horror|Mystery|Thriller
At the River I Stand	2000	1.0	Documentary
Crossroads	2011	1.8	Crime|Drama|Film-Noir
Budd Boetticher: An American Original 	2011	1.2	Documentary
God told Me To	1999	1.9	Crime|Horror|Mystery|Sci-Fi|Thriller
Great Caruso, The	2007	1.9	Drama|Musical
Burning Palms	1997	2.3	Comedy|Drama
Easier with Practice	2004	2.4	Drama|Romance
Silk	1998	1.1	Adventure|Drama|Romance
Dragon Ball Z: Cooler's Revenge (Doragon bôru Z 5: Tobikkiri no saikyô tai saikyô)	1996	1.6	Action|Adventure|Animation
Under the Bridges (Unter den Brücken)	2007	2.0	Comedy|Drama|Romance
Men with Brooms	1994	1.9	Comedy|Drama|Romance
Kiss of the Spider Woman	2002	1.4	Drama
King of Devil's Island (Kongen av Bastøy) 	2004	1.8	Action|Drama
Eden	2011	1.2	Drama|Romance
Casanova '70	1987	2.2	Comedy|Drama
Letter From Death Row, A	2009	2.0	Crime|Drama
Après lui	1994	1.6	Drama
Place Called Chiapas, A	1997	1.3	Documentary
How to Draw a Bunny	1995	1.8	Documentary
French Minister, The (Quai d'Orsay)	1993	1.4	Comedy
Rollerball	1992	1.2	Action|Sci-Fi
Way Out West	2001	2.2	Comedy|Western
Lesson Plan 	2008	1.1	Documentary
Terror in a Texas Town	2005	1.3	Western
Touch of Zen, A (Xia nu)	2005	2.1	Action|Adventure
Police Academy 4: Citizens on Patrol	1997	1.2	Comedy|Crime
Elephant	2001	1.4	Drama
Let Fury Have the Hour	1987	1.7	Documentary
Dream With the Fishes	2005	1.8	Drama
World according to Ion B., The (Lumea vazuta de Ion B)	2009	1.7	Documentary
Into the White (Cross of Honour)	2004	1.3	Action|Drama|War
They All Laughed	1984	1.5	Comedy
Mountaintop Motel Massacre 	1993	1.9	Horror|Thriller
Journey for Margaret	2001	1.6	Drama|War
Winnie the Pooh and a Day for Eeyore	2003	1.1	Animation|Children
Dunwich Horror, The	1987	1.2	Horror
The Youngest Profession	2009	1.2	Comedy|Romance
Geek Charming	2005	1.3	Comedy
At the Circus	2010	2.2	Comedy|Musical
Cabaret	2009	1.3	Drama|Musical
Beyond the Mat	1996	1.9	Documentary
5,000 Fingers of Dr. T, The	2008	1.8	Children|Fantasy|Musical
Ron Clark Story, The	2009	2.0	Drama
Not Without My Daughter	2011	1.2	Drama
Keeping Up with the Steins	2007	1.6	Comedy
Bench, The (Bænken)	2012	2.4	Drama
Manxman, The	2001	1.8	Drama
Masquerade	2007	1.9	Mystery|Romance|Thriller
City, The (Ciudad, La)	2005	1.7	Drama
Carter, The	2003	1.6	Documentary
Stendhal Syndrome, The (Sindrome di Stendhal, La)	2007	2.0	Crime|Horror|Thriller
Pearls of the Deep (Perlicky na dne)	1999	1.1	Comedy
Eye for an Eye	2012	1.9	(no genres listed)
Thing, The	2007	1.6	Horror|Mystery|Sci-Fi|Thriller
Zelig	1994	1.0	Comedy
Gregory Crewdson: Brief Encounters	1996	1.9	Documentary|Drama
Charlie Chan at Treasure Island	2009	1.8	Comedy|Crime|Horror|Mystery|Thriller
Pornstar: The Legend of Ron Jeremy	2011	2.4	Documentary
Love Ranch	2011	2.2	Comedy|Drama|Romance
Believe Me	1985	1.7	Comedy|Drama
Word Wars	2010	1.8	Comedy|Documentary|Drama
Pirates! Band of Misfits, The	2012	2.1	Adventure|Animation|Children|Comedy
Mr. Warmth: The Don Rickles Project	2005	1.6	Documentary
My Bloody Valentine 3-D	2011	1.3	Horror|Thriller
American Mary	2012	2.3	Horror|Thriller
Guide for the Married Man, A	2000	2.1	Comedy
Wind with the Gone (El viento se llevó lo qué)	2009	1.9	Comedy|Drama
No Blood Relation (Stepchild, The) (Nasanunaka)	1994	2.2	Drama
Backwood Philosopher (Havukka-ahon ajattelija)	2010	1.0	Comedy|Drama
Dream (Bi-mong)	1994	2.1	Drama|Fantasy|Mystery|Romance
Funny Thing Happened on the Way to the Forum, A	2010	1.2	Comedy|Musical
Crimes Against Humanity	1994	2.0	Comedy
Interceptor	2006	2.1	Action|Sci-Fi
Chocolate Soldier, The	1995	1.9	Comedy|Musical
Assault on Wall Street 	2003	1.9	Drama|Thriller
Sokkotanssi	1986	1.1	Comedy|Drama
Animal Crackers	2013	1.2	Comedy|Musical
Two Brothers (Deux frères)	2006	1.8	Adventure|Children|Drama
Inhale	2000	2.1	Drama|Thriller
1991: The Year Punk Broke	1996	2.1	Documentary
Contract Killers	2005	1.1	Action|Adventure|Thriller
By the Bluest of Seas (U samogo sinego morya)	1993	1.1	Drama
Boys Diving, Honolulu	1996	2.4	Documentary
Star Wars Uncut: Director's Cut	2006	1.7	Action|Animation|Comedy|Sci-Fi|Western
Ice Poison	2012	2.1	(no genres listed)
Right Stuff, The	1986	1.9	Drama
War of the Gargantuas, The (Furankenshutain no kaijû: Sanda tai Gaira)	1977	1.9	Horror|Sci-Fi
Capitalism: A Love Story	1995	1.3	Documentary
Twins	2007	2.1	Comedy
Muppet Christmas Carol, The	1997	1.2	Children|Comedy|Musical
Lightning Bolt: The Power of Salad	2004	1.0	Documentary
Girlfriend Experience, The	2008	1.9	Drama
Love Life	1992	1.5	Comedy|Romance
Stranger in Me, The (Das Fremde in mir)	1986	2.0	Drama
Starving Games, The	2009	1.5	Comedy
Voices of a Distant Star (Hoshi no koe)	2008	1.3	Animation|Drama|Romance|Sci-Fi
Wuthering Heights	1989	2.1	Drama|Romance
Birdman of Alcatraz	2002	2.0	Drama
Giallo	2006	2.0	Crime|Horror|Thriller
I Still Know What You Did Last Summer	2009	1.4	Horror|Mystery|Thriller
The Magical Legend of the Leprechauns	2001	1.7	Adventure|Children|Comedy|Fantasy|Romance
Alligator Eyes	1992	1.5	Drama|Film-Noir|Mystery
The Hatchet Man	1993	1.7	Crime|Drama
2019: After the Fall of New York	2007	2.2	Action|Horror|Sci-Fi
Frankie and Johnny	2002	1.3	Comedy
White Fang (Zanna Bianca)	2004	1.5	Adventure
There's No Business Like Show Business	1992	2.4	Musical
Cairo Station (a.k.a. Iron Gate, The) (Bab el hadid)	2001	2.2	Crime|Drama
My Beautiful Dacia (Dacia, dragostea mea)	2006	1.6	Documentary
In Dreams	1989	2.1	Horror|Thriller
King of Devil's Island (Kongen av Bastøy) 	2006	1.4	Action|Drama
Savages, The	1996	2.2	Comedy|Drama
You May Not Kiss the Bride	2005	1.1	Action|Comedy|Crime|Romance
We Are from the Future (My iz budushchego)	2001	2.0	Action|Drama|Fantasy
Giant	1995	2.3	Drama|Romance|Western
Finisterrae	2010	1.1	(no genres listed)
Wrestling (Bræðrabylta)	1966	2.3	Drama|Romance
The Lunchbox	2012	2.1	Drama|Romance
Great Train Robbery, The	1985	1.0	Crime|Western
American Violet	2008	1.0	Drama
To Each His Own Cinema (Chacun son cinéma ou Ce petit coup au coeur quand la lumière s'éteint et que le film commence)	2002	1.2	Comedy|Drama
Spirit of St. Louis, The	1997	1.6	Adventure|Drama
The Spiritual Boxer	1995	2.1	Action|Comedy|Drama
Just Add Water	1950	1.4	Comedy|Romance
Innocent Lies	2008	1.7	Drama|Mystery|Thriller
Last Tango in Paris (Ultimo tango a Parigi)	2000	2.5	Drama|Romance
Children's Hour, The	2009	1.4	Drama
Internal Affairs	2008	1.8	Crime|Thriller
Jesse Stone: Benefit of the Doubt	2000	2.4	Crime|Drama
Lie, The	1999	1.6	Drama
Get Thrashed: The Story of Thrash Metal	1996	2.2	Documentary
Married to the Mob	2007	1.4	Comedy
Charming Mass Suicide, A (Hurmaava joukkoitsemurha)	1993	1.1	Comedy
Fire and Ice	1999	1.8	Animation|Fantasy
How Do You Know	2007	2.3	Comedy|Drama|Romance
Back to the Future	1999	1.5	Adventure|Comedy|Sci-Fi
Action Jackson	1995	1.9	Action|Comedy|Crime|Thriller
Walk Among the Tombstones, A	2001	1.9	Action|Crime|Mystery|Thriller
Rough House, The	2006	2.4	Comedy
Waiting Room, The	2011	2.2	Drama|Romance
Whatever Happened to Aunt Alice?	2000	1.9	Crime|Thriller
Black Rose Ascension (Kurobara shôten)	2013	1.2	Drama
Frontier of the Dawn (La frontière de l'aube)	2001	1.9	Drama
To Be King (Koning van Katoren)	2011	1.4	Adventure
Phaedra	1993	1.8	Drama
Wetherby	2002	2.0	Drama
Sometimes They Come Back... Again	1988	1.7	Horror
Five Wives, Three Secretaries and Me	1998	2.0	Documentary
Barabbas	2004	2.2	Drama
Edmond	2011	2.3	Drama|Thriller
Into the Middle of Nowhere	2007	1.2	Adventure|Children|Comedy|Documentary|Drama
Fury	1996	2.4	Drama|Film-Noir
Murders in the Zoo	1994	1.2	Crime|Horror|Mystery
Alucarda	1989	1.3	Horror|Thriller
The Amazing Screw-On Head	2007	1.8	Action|Adventure|Animation|Comedy|Sci-Fi
Sombre	1990	1.9	Drama|Horror
Love Object	1998	2.2	Comedy|Drama|Horror|Romance|Thriller
Cost of Oil: Voices from the Arctic, The	2001	1.2	Documentary
Someone Like You (Unnaipol Oruvan)	2005	2.1	Crime|Drama
The Baker's Wife	2004	1.8	Comedy|Drama
Eden Lake	2012	2.3	Horror|Thriller
Outside the Law	2010	1.7	Action
Tall T, The	1994	1.6	Western
Our Folks (Sami swoi)	2007	1.8	Comedy
White Sands	2011	1.2	Drama|Thriller
Devil's Doorway	1995	1.4	Western
Vertical Ray of the Sun, The (Mua he chieu thang dung)	1987	1.4	Drama
Knockin' on Heaven's Door	2009	1.7	Action|Comedy|Crime|Drama
Rat Savior, The (Izbavitelj)	2012	2.3	Horror|Sci-Fi
Wasabi	2002	2.1	Action|Comedy|Crime|Drama|Thriller
New in Town	1999	2.1	Comedy|Romance
Rachel, Rachel	1994	1.8	Drama|Romance
Desert Trail, The	2010	2.4	Western
Mr. Conservative: Goldwater on Goldwater	2005	1.5	Documentary
Ratko: The Dictator's Son (National Lampoon's Ratko: The Dictator's Son)	2009	2.2	Comedy
Homeward Bound II: Lost in San Francisco	1987	1.7	Adventure|Children
David Holzman's Diary	1998	2.2	Documentary|Drama
Loverboy	2008	1.7	Comedy
Beast, The	2011	2.1	Drama|Horror|Thriller
What? (Che?)	2006	1.6	Comedy
TV Set, The	1997	1.1	Comedy|Drama
Mad Dog Time	2007	1.4	Crime
Halloween III: Season of the Witch	2006	1.1	Horror
Predators	2008	1.8	Action|Sci-Fi|Thriller
Brothers McMullen, The	2011	2.0	Comedy
Rollerball	2011	1.8	Action|Sci-Fi
Kid Cannabis	2008	1.1	Drama
Vanity Fair	1998	1.6	Drama|Romance
Sky High	1988	1.5	Action|Adventure|Children|Comedy
Ghost and Mr. Chicken, The	1987	1.3	Comedy|Romance
Koch	1999	1.5	Documentary
Mr. Nobody	2006	2.1	Drama|Fantasy|Romance|Sci-Fi
Iron Eagle II	1998	1.5	Action|War
Outbreak	1989	1.7	Action|Drama|Sci-Fi|Thriller
Drogówka	2004	1.7	Comedy|Crime|Drama
Bullets or Ballots	1992	2.2	Crime|Drama|Thriller
Slim Susie (Smala Sussie)	1992	1.3	Comedy|Crime|Mystery
Joe Dirt	1996	1.4	Adventure|Comedy|Mystery|Romance
In My Skin (Dans ma Peau)	1996	2.0	Drama
Stonewall Uprising	1994	2.4	Documentary
The Cobbler	2007	2.4	Comedy|Drama|Fantasy
Higher Learning	2006	2.0	Drama
Timerider: The Adventure of Lyle Swann	2012	1.1	Action|Adventure|Sci-Fi|Western
Rocky II	1999	2.0	Action|Drama
Li'l Quinquin	1959	2.1	(no genres listed)
That Sugar Film	1993	2.5	Documentary
Insect Woman, The (Nippon konchûki)	2011	1.5	Drama
Maiden Heist, The	1990	2.1	Comedy|Crime
Tekken	1993	1.9	Action|Sci-Fi
Black Sheep	2008	1.6	Comedy|Horror
Open Season 2	1989	2.4	Adventure|Animation|Children|Comedy
London Conspiracy	1996	1.9	Action|Mystery
Don's Plum	2012	1.8	Drama
Double Indemnity	2010	2.0	Crime|Drama|Thriller
St. Ives	1985	1.1	Crime|Mystery|Thriller
Change-Up, The	1998	1.7	Comedy
Half Life of Timofey Berezin, The (PU-239)	2007	1.7	Drama
Lone Ranger, The	1999	1.6	Action|Adventure|Western|IMAX
Where the Day Takes You	2005	1.5	Drama
Bedroom Window, The	1996	1.6	Thriller
Sound of Insects, The	1984	1.3	Adventure|Documentary|Drama|Mystery|Thriller
Strange Invaders	2011	2.0	Drama|Romance|Sci-Fi
Wings of the Dove, The	2003	1.2	Drama|Romance
Dust	2012	1.1	Drama|Western
Hamlet	1993	2.0	Drama
Twelve Monkeys (a.k.a. 12 Monkeys)	1996	1.1	Mystery|Sci-Fi|Thriller
The Stanford Prison Experiment	1992	1.5	Drama|Thriller
King of Beggars (Mo jong yuen So Hat-Yi)	2005	1.2	Action|Comedy|Drama
Touchy Feely	1999	2.3	Drama
Muppets From Space	2001	1.8	Children|Comedy
Hoot	2005	1.6	Children|Comedy
Big Bad Wolves	2000	1.8	Crime|Thriller
Last Klezmer: Leopold Kozlowski, His Life and Music, The	2000	1.9	Documentary
Possession	2003	1.7	Drama|Romance
Omen, The	2010	1.9	Horror|Mystery|Thriller
Merantau	2011	1.6	Action|Drama
Rat	2001	1.3	Comedy|Drama|Romance
First Time, The	1994	2.1	Comedy|Drama|Romance
Fugitives (Fugitivas)	2003	1.2	Drama|Thriller
Resan Till Melonia	1972	2.2	Adventure|Animation|Children|Fantasy
Kids in the Hall: Brain Candy	1997	1.5	Comedy
Juice	1998	1.2	Action|Crime|Drama|Thriller
Awfully Big Adventure, An	1994	1.3	Drama
Men in the City (Männerherzen)	1998	1.6	Comedy
Louisiana Story	1992	2.0	Drama
Patriot Games	2003	1.9	Action|Thriller
Above Suspicion	1998	1.2	Thriller
Bronx Obama	2009	1.7	Documentary
Band of Brothers	1995	2.2	Action|Drama|War
Desperate	1996	1.8	Drama|Film-Noir
Bad Timing: A Sensual Obsession	2006	1.9	Drama
Caltiki the Undying Monster	1996	1.6	Adventure|Horror|Sci-Fi|Thriller
Pilgrim, The	1993	1.1	Comedy
Comic Book Confidential	2005	1.5	Documentary
No Impact Man: The Documentary	2004	1.7	Documentary
Dante's Inferno	1991	2.2	Action|Drama
From Prada to Nada	1987	2.3	Comedy|Romance
Wanda Sykes: Sick and Tired	1988	1.4	Comedy|Documentary
Madame Bovary	2001	2.2	Drama|Romance
Killing Auntie (Zabicie ciotki)	2008	1.7	Drama|Thriller
City Girl	2004	1.0	Drama|Romance
Talk of the Town, The	2010	1.1	Comedy|Romance|Thriller
Along Came a Spider	1997	2.4	Action|Crime|Mystery|Thriller
Cose da pazzi	2004	1.8	(no genres listed)
Lady Be Good	1985	1.6	Comedy|Musical
Why Don't You Play In Hell? (Jigoku de naze warui)	1989	2.0	Action|Drama
Ten Commandments, The	2011	1.8	Drama
Blood Moon	1994	2.4	Drama|Horror
Guy and Madeline on a Park Bench	1993	1.7	Drama|Musical
Masterminds	2009	1.1	Action|Comedy|Thriller
Army Brats (Schatjes!)	2008	1.1	Children|Comedy
East, West, East: The Final Sprint	2007	2.2	Comedy|Drama
The Mayor of Casterbridge	1987	2.2	Drama
Soap and Water	1969	2.3	Comedy
Power of One, The	1998	1.0	Drama
The Boogens	2001	2.2	Horror
In My Father's Den	1996	1.0	Drama
London River	1992	1.8	Drama|Mystery
Femme Fatale	2012	1.9	Crime|Thriller
No One Dies in Lily Dale	2011	1.4	Documentary
Nine Lives (Ni liv)	1997	1.4	Action|Adventure|War
La discrète	2001	2.3	Drama|Romance
Apollo 13	2000	1.8	Adventure|Drama|IMAX
Anastasia	1998	2.4	Drama
Send Me No Flowers	2007	1.5	Comedy|Romance
Wool Cap, The	2008	2.4	Drama
Wood & Stock: Sexo, Orégano e Rock'n'Roll	1997	1.3	Animation|Comedy
Treatment, The	2007	1.6	Comedy|Drama|Romance
The Beautiful Story	2003	1.6	Adventure|Drama|Fantasy
Stuff and Dough (Marfa si banii)	2009	2.3	Drama
Incir Reçeli	2009	1.2	Drama|Romance
Rage	1995	1.4	Drama
Straight Time	2001	2.0	Crime|Drama
My Mother's Castle (Château de ma mère, Le)	2009	2.1	Comedy|Drama
Chitty Chitty Bang Bang	1997	1.0	Adventure|Children|Comedy|Fantasy|Musical
The Private Life of Deer	1986	2.3	Documentary
St. Valentine's Day Massacre, The	2006	2.2	Crime|Drama
Dance Me Outside	1989	1.3	Comedy|Drama
Liam	2011	1.1	Drama
The Heavy	2012	2.0	Action|Thriller
Man on the Roof, The (Mannen på taket)	1993	1.7	Action|Crime|Drama|Thriller
Wayward Bus, The	1993	1.6	Drama
Smiling Lieutenant, The	2001	2.3	Comedy|Musical|Romance
Whitecoats	1999	2.1	Comedy
Pandora and the Flying Dutchman	2010	2.3	Drama
Comrade X	1999	1.5	Comedy|Drama
Timeline	2000	1.3	Action|Adventure|Sci-Fi
Punk Syndrome, The (Kovasikajuttu)	2003	2.0	Documentary
Southland Tales	2008	2.0	Comedy|Drama|Sci-Fi|Thriller
People vs. Larry Flynt, The	2000	1.2	Comedy|Drama
Pootie Tang	2012	1.3	Comedy
Miracle on 34th Street	2011	1.7	Comedy|Drama
Shark Attack	1995	1.4	Action|Horror
In & Out	2005	2.4	Comedy
Bunker, The	1995	1.5	Drama|Horror|Mystery|Thriller|War
Trial by Jury	1999	2.2	Crime|Drama|Thriller
Tales of Hoffmann, The	1996	1.5	Adventure|Fantasy|Musical|Romance
Prozac Nation	1997	1.1	Drama
Blondes at Work	2009	1.5	Crime|Drama|Mystery|Romance
16 Years of Alcohol	1986	1.8	Drama
Comedy of Terrors, The	2011	2.2	Comedy|Horror
Victor Sjöström: Ett porträtt	1995	1.7	Documentary
Kobe Doin' Work	1993	2.3	Documentary
Medium Cool	2001	1.9	Drama|Romance
Land of the Pharaohs	1974	1.5	Drama
Home Sweet Hell	1988	2.2	Comedy|Drama
Intimate Strangers (Confidences trop intimes)	2011	1.8	Drama
Jacques Brel Is Alive and Well and Living in Paris	2008	2.2	Musical
Tape	2010	1.9	Drama
Mystery Train	2011	1.9	Comedy|Drama
Die Hard: With a Vengeance	2004	1.1	Action|Crime|Thriller
Battles Without Honor & Humanity (Jingi naki tatakai)	2012	1.1	Crime|Drama
Broken Windows	2003	1.1	Drama
Papadopoulos & Sons	2010	2.2	Comedy|Drama
Execution Squad	1993	1.5	Crime|Drama
Lisbon Story	2013	1.2	Drama
Atonement	1996	2.1	Drama|Romance|War
Off the Charts: The Song-Poem Story	2000	1.8	Documentary
12:01 PM	2011	1.3	Sci-Fi
Private Parts	1993	1.6	Comedy|Drama
Lady and the Tramp II: Scamp's Adventure	1998	2.5	Adventure|Animation|Children
Arrangement, The	1994	1.6	Drama
Hi-Lo Country, The	2009	2.5	Drama|Romance|Western
Mr. Mom	2010	2.4	Comedy|Drama
Tony Rome	2005	2.3	Crime|Drama|Thriller
Buccaneer, The	1997	2.2	Adventure
Music Never Stopped, The	1998	2.0	Drama
Football Factory, The	1991	1.4	Action|Drama
Brigham City	2007	1.4	Crime|Drama|Mystery
Star Trek III: The Search for Spock	2006	1.5	Action|Adventure|Sci-Fi
The Borderlands	1985	1.9	Horror|Mystery
The White Sister	2001	1.7	Drama|Romance
Ballad of the Little Soldier (Ballade vom kleinen Soldaten)	2006	1.7	Documentary
Year of Living Vicariously, The	1996	1.1	Documentary
Fist of the North Star	2001	1.8	Action|Animation
Continental Divide	1992	1.1	Comedy|Romance
Shakespeare-Wallah	1995	1.6	Drama
3096 Days	1999	1.4	Drama
Dragnet	2012	1.6	Comedy|Crime|Drama
Forsaking All Others	2011	2.5	Comedy|Drama|Romance
Sounder	2011	1.3	Drama
Like Father, Like Son (Soshite chichi ni naru)	2007	1.4	Drama
Face	1999	2.1	Comedy
Examined Life	2000	1.3	Documentary
Missing in America	2001	1.5	Drama|War
My Dear Secretary	2000	1.9	Comedy|Romance
Jam	1997	2.2	Drama
World's Greatest Dad	1999	2.1	Comedy|Drama
Fast Food, Fast Women	2007	1.9	Comedy|Romance
Elephant Boy	2003	2.0	Adventure|Drama
Year of the Gun	1996	1.4	Action|Romance|Thriller
Stranger on the Third Floor	2007	2.5	Drama|Film-Noir
Never Play Clever Again (Gendarme et les gendarmettes, Le)	2008	2.3	Comedy|Crime
Someone Else's America	2011	1.7	Drama
Trail of the Lonesome Pine, The	2009	2.3	Drama|Romance
Wrong Is Right (a.k.a. The Man With the Deadly Lens)	2005	1.5	Drama|Thriller
Moon Is Blue, The	2000	1.1	Comedy|Romance
Black Room, The	1996	1.9	Crime|Horror|Thriller
Maid of Salem	2004	2.0	Drama
Field of Dreams	1995	2.4	Children|Drama|Fantasy
Servant, The	1995	1.1	Drama
I Am Taraneh, I Am Fifteen Years Old (Man, taraneh, panzdah sal daram)	2009	1.5	Drama
The Man Who Loved Yngve	1997	1.0	Comedy|Drama|Romance
Sugar Curtain, The (El telón de azúcar)	2010	1.0	Documentary
Savages	2011	2.2	Comedy|Fantasy
Last Wedding, The (Kivenpyörittäjän kylä)	2003	2.5	Comedy|Drama
Dead Rising: Watchtower	2008	2.1	Action|Horror|Thriller
Messages Deleted	2008	1.9	Mystery|Thriller
Involuntary (De ofrivilliga)	1998	2.0	Drama
Border Run (Mule, The)	2006	1.9	Crime|Thriller
[REC]²	2005	1.6	Horror|Thriller
Texas Chainsaw Massacre, The	2010	2.2	Horror
Betty	2010	1.7	Drama
Comedy Central Roast of Bob Saget	1992	2.1	Comedy
Irina Palm	1995	1.8	Drama
Behind Enemy Lines: Colombia (Behind Enemy Lines 3: Ghost Watch)	1995	1.1	Action|Thriller|War
The True Story of Puss 'n Boots	2012	1.4	Adventure|Animation|Children
Arch of Triumph	2003	2.1	Drama|Romance|War
They Gave Him A Gun	1978	1.5	Crime|Drama
Hype!	1991	1.9	Documentary
Widows	2007	2.0	Drama
Magnificent Seven, The	1997	2.0	Adventure|Western
K-11	2006	1.3	Crime|Drama
Benny & Joon	1984	2.5	Comedy|Romance
Thirteen Women	2003	1.2	Drama|Mystery
Manderlay	2002	1.8	Drama
Steal This Film II	2013	2.0	Documentary
Clown	2012	1.9	Drama|Horror
Resolution	2011	1.8	Horror|Thriller
Hannah Free	1992	1.9	Drama
This Christmas	1997	2.3	Comedy|Drama|Romance
Gigantic (A Tale of Two Johns)	1992	1.5	Documentary
Black Hawk Down	2009	1.6	Action|Drama|War
Long Goodbye, The	2001	2.0	Crime|Film-Noir
Thief Who Came to Dinner, The	2003	1.7	Comedy|Romance
Comrades: Almost a Love Story (Tian mi mi)	2000	1.9	Drama|Romance
Gray Matters	2004	2.5	Comedy|Drama|Romance
Jimmy Show, The	2009	2.1	Comedy|Drama
Janie Jones	2012	2.1	Drama|Musical
One and Only, The	2012	1.5	Comedy|Romance
Maverick	2010	2.3	Adventure|Comedy|Western
Shooting Fish	1989	1.1	Comedy|Romance
From the Earth to the Moon	2012	1.5	Action|Documentary|Drama|Thriller
Misfortunates, The (De helaasheid der dingen)	1992	1.8	Drama
Pulse	2009	1.3	Action|Drama|Fantasy|Horror|Mystery|Sci-Fi|Thriller
8th Wonderland	2006	1.5	Drama|Thriller
Shrek the Halls	2002	2.2	Adventure|Animation|Comedy|Fantasy
Like It Is	2005	2.1	Drama
Race the Sun	2012	1.5	Adventure|Comedy|Drama
Tetsuo, the Ironman (Tetsuo)	1992	1.7	Action|Horror|Sci-Fi|Thriller
Who Is Killing the Great Chefs of Europe?	2003	1.8	Comedy|Crime|Mystery
The Man from Acapulco	2008	1.8	Action|Comedy|Fantasy|Romance
Final Destination 3	1993	2.0	Horror|Mystery|Thriller
Sanshiro Sugata Part Two (Judo Saga II) (Zoku Sugata Sanshirô)	1997	1.6	Action|Adventure
Fury	2009	1.0	Action|Drama|War
Ping Pong Summer	2010	2.1	Comedy
Her Alibi	2007	1.5	Comedy|Romance
Merry Widow, The	1992	1.4	Musical
Fill the Void (Lemale et ha'halal)	1997	1.7	Drama
Vesku from Finland (Vesku)	2009	2.4	Documentary
Closet, The (Placard, Le)	2007	1.0	Comedy
Cigarette Girl of Mosselprom, The (Papirosnitsa ot Mosselproma)	2002	1.8	Comedy|Romance
Dylan Moran: Yeah, Yeah	1994	2.2	Comedy
Seduced and Abandoned	1995	1.3	Comedy|Documentary
Four Sided Triangle	2003	1.6	Romance|Sci-Fi
War Lord, The	1992	1.6	Drama|Romance|War
Saratov Approach, The	2000	1.7	Action|Drama
Stander	1996	1.3	Action|Crime|Drama
Dragon Ball Z: Wrath of the Dragon (Doragon bôru Z 13: Ryûken bakuhatsu!! Gokû ga yaraneba dare ga yaru)	1993	1.1	Action|Adventure|Animation
Maskerade	2007	2.0	Comedy|Romance
Blood Feast	2012	1.0	Horror
Leap of Faith	1995	2.2	Comedy|Drama
Elusive Summer of '68, The (Varljivo leto '68)	2001	1.3	Comedy|Drama|Romance
Beautiful Life, A	2006	1.2	Drama
Hard-Boiled (Lat sau san taam)	2007	2.4	Action|Crime|Drama|Thriller
Corridors of Blood	1998	2.2	Crime|Drama|Horror|Thriller
Life Back Then (Antoki no inochi)	1991	1.8	Drama|Romance
Bring It On: Fight to the Finish	2010	2.4	Comedy
Love Story	2005	2.3	Drama|Romance
Shadowboxer	1987	2.4	Crime|Drama|Thriller
A Justified Life: Sam Peckinpah and the High Country	1994	2.3	Documentary
Bill Maher: Victory Begins at Home	2010	2.3	Comedy
Buccaneer, The	2005	1.2	Adventure
Thousand Words, A	2001	1.8	Comedy|Drama
Uninvited, The	2001	1.8	Drama|Horror|Mystery|Thriller
Our Life (La nostra vita)	2010	1.5	Drama
Eraser	1969	2.4	Action|Drama|Thriller
Paris, Texas	1998	1.9	Drama|Romance
Tycoon	2010	2.4	Adventure|Drama|Romance
Flicker	2010	1.6	Horror
Return of Frank James, The	1993	2.4	Western
Katalin Varga	1995	1.0	Crime|Drama|Thriller
Freedomland	2010	1.8	Crime|Drama
Skyline	1994	2.5	Sci-Fi|Thriller
Asphyx, The	2007	2.1	Horror|Sci-Fi
Phase 7	1993	2.4	Comedy|Sci-Fi|Thriller
I Am Michael	1978	2.4	Drama
Dylan Moran: Monster	1993	1.6	Comedy|Documentary
Garage, The	1998	1.8	Comedy
Once Upon a Time (Der var engang)	2010	1.1	Romance
Christopher Strong	1998	2.3	Drama
